,Class Prefix,Class Number,Class title,Class day,start_time,finish_time,Class instructor
3387,HLTH,100-71,Its Your Health  Wellbeing,F,11:30:00,12:20:00,Lisa DuPree
3388,HLTH,100-72,Its Your Health  Wellbeing,F,11:30:00,12:20:00,Lisa DuPree
3389,HLTH,100-73,Its Your Health  Wellbeing,F,11:30:00,12:20:00,Lisa DuPree
3390,HLTH,100-74,Its Your Health  Wellbeing,F,11:30:00,12:20:00,Lisa DuPree
3391,HLTH,100-75,Its Your Health  Wellbeing,F,13:00:00,13:50:00,Lisa DuPree
3392,HLTH,100-76,Its Your Health  Wellbeing,F,13:00:00,13:50:00,Lisa DuPree
3393,HLTH,100-77,Its Your Health  Wellbeing,F,13:00:00,13:50:00,Lisa DuPree
3394,HLTH,100-78,Its Your Health  Wellbeing,F,13:00:00,13:50:00,Lisa DuPree
3395,HLTH,100-79,Its Your Health  Wellbeing,F,13:00:00,13:50:00,Lisa DuPree
3396,HLTH,100-80,Its Your Health  Wellbeing,F,13:00:00,13:50:00,Lisa DuPree
3397,HLTH,100-81,Its Your Health  Wellbeing,F,13:00:00,13:50:00,Lisa DuPree
3398,HLTH,100-82,Its Your Health  Wellbeing,F,16:00:00,16:50:00,Lisa DuPree
3399,HLTH,190-1,Freshman Seminar Human Health,MW,13:00:00,14:15:00,Jill Welkley
3400,HLTH,207-1,Fundamentals of Epidemiology,MW,13:00:00,14:15:00,Lauren ChristiansenLindquist
3401,HLTH,220-1,Introduction to Nutrition Science,MW,10:00:00,11:15:00,Myra WoodworthHobbs
3402,HLTH,230-1,Health Wellbeing  Humanities,TuTh,13:00:00,14:15:00,Chris Eagle
3403,HLTH,230-2,Health Wellbeing  Humanities,TuTh,14:30:00,15:45:00,Chris Eagle
3404,HLTH,250-1,Foundations of Global Health,TuTh,10:00:00,11:15:00,Rachel HallClifford
3405,HLTH,285-1,Topics in Human Health,TuTh,8:30:00,9:45:00,Robert Hood
3406,HLTH,300R-1,Peer Health Partners,M,14:30:00,15:45:00,Fatima Waseem
3408,HLTH,310-1,Defining Health Biocultural Perspectives,TuTh,13:00:00,14:15:00,Michelle Lampl
3409,HLTH,314-1,The Science of Sleep,MW,14:30:00,15:45:00,Amanda Freeman
3410,HLTH,317-1,Microbiome in Health  Disease,TuTh,14:30:00,15:45:00,Amanda Freeman
3411,HLTH,320-1,Nutrition and Chronic Disease,MW,11:30:00,12:45:00,Jean Welsh
3412,HLTH,323-1,Nutrition for Exercise and Sport,TuTh,10:00:00,11:15:00,Dan Benardot
3413,HLTH,328-1,Textbook to Table,MW,14:30:00,15:45:00,Jill Welkley
3414,HLTH,329-1,Motor Physiology,TuTh,17:30:00,18:45:00,Myra WoodworthHobbs
3415,HLTH,333-1,American Healthcare Ethics,TuTh,16:00:00,17:15:00,Chris Eagle
3416,HLTH,335-1,Bioethics and Clinical Questions,MW,11:30:00,12:45:00,Christina Gavegnano
3417,HLTH,340-1,Food Health and Society,MW,8:30:00,9:45:00,Cassandra Quave
3418,HLTH,341-1,Vaccines and Immunology in HLTH,TuTh,13:00:00,14:15:00,Christina Gavegnano
3419,HLTH,343-1,Science of Integrative Health,TuTh,11:30:00,12:45:00,Carolyn Accardi
3420,HLTH,347-1,21st Century HLTH  Wellbeing,TuTh,8:30:00,9:45:00,Charles Raison
3421,HLTH,350R-1,Core Issues in Global Health,TuTh,10:00:00,11:15:00,Helena Pachon
3422,HLTH,367-1,The Self in Performance,MW,10:00:00,11:15:00,Erica Craig
3423,HLTH,373-1,Delivering Health,Tu,14:30:00,16:10:00,Victoria Phillips
3424,HLTH,376-1,Health and Science Podcasting,MW,14:30:00,15:45:00,Not Listed
3425,HLTH,385W-1,Special Topics Human Health,W,18:00:00,20:45:00,Maryn McKenna
3426,HLTH,385-6,Special Topics Human Health,MW,11:30:00,12:45:00,Myra WoodworthHobbs
3427,HLTH,385-8,Special Topics Human Health,MW,13:00:00,14:15:00,Not Listed
3428,HLTH,385-9,Special Topics Human Health,MW,8:30:00,9:45:00,Not Listed
3429,HLTH,385-10,Special Topics Human Health,TuTh,11:30:00,12:45:00,Not Listed
3430,HLTH,385-11,Special Topics Human Health,TuTh,11:30:00,12:45:00,Art Linton
3431,HLTH,385-12,Special Topics Human Health,TuTh,16:00:00,17:15:00,Art Linton
3434,HLTH,400-1,Community Health Education Strategies,M,16:00:00,17:15:00,Lisa DuPree
3435,HLTH,431-1,Stigma  Health,M,16:00:00,18:45:00,Sydney Spangler
3436,HLTH,455-1,Collaborate to Transform HLTH,MW,10:00:00,11:15:00,John Cranmer
3437,HLTH,469-1,Medical Discourse in Latin America,TuTh,10:00:00,11:15:00,Xochiquetzal MarsilliVargas
3438,HLTH,485-1,Variable Topics in Human Health,F,13:00:00,15:45:00,Brittany Murray
3439,HLTH,495A-1,Honors Research,Th,14:30:00,15:45:00,Rachel HallClifford
3443,BIOL,120-LAB1,Concepts In Biology,W,14:30:00,17:30:00,Megan Cole
3444,BIOL,120-LAB2,Concepts In Biology,W,18:00:00,21:00:00,Megan Cole
3445,BIOL,120-LAB3,Concepts In Biology,Th,8:00:00,11:00:00,Megan Cole
3446,BIOL,120-LAB4,Concepts In Biology,Th,14:30:00,17:30:00,Megan Cole
3447,BIOL,120-1,Concepts In Biology,TuTh,17:30:00,18:45:00,Edward Nam
3448,BIOL,141-1,Foundations of Modern Biol I,MW,8:30:00,9:45:00,Miguel Reyes
3449,BIOL,141L-1,Foundations of Modern Biology I Lab,M,14:30:00,17:30:00,Megan Cole
3450,BIOL,141-2,Foundations of Modern Biol I,MW,13:00:00,14:15:00,Eric Battaglioli
3451,BIOL,141L-2,Foundations of Modern Biology I Lab,M,14:30:00,17:30:00,Megan Cole
3452,BIOL,141-3,Foundations of Modern Biol I,MW,14:30:00,15:45:00,Eric Battaglioli
3453,BIOL,141L-3,Foundations of Modern Biology I Lab,M,14:30:00,17:30:00,Megan Cole
