,Class Prefix,Class Number,Class title,Class day,start_time,finish_time,Class instructor,Class location
1219,PERS,201-1,Intermediate Persian I,MW,1:00pm,2:15pm,Hossein Samei,Online/New Psyc Bldg 225 (36 Eagle Ro
1221,ISOM,351-1118,Process  Systems Management,MW,8:30am,9:45am,Steve Walton,Goizueta Business School 334
1222,ISOM,351-1119,Process  Systems Management,MW,10:00am,11:15am,Steve Walton,Goizueta Business School 334
1223,ISOM,351-1120,Process  Systems Management,MW,1:00pm,2:15pm,Steve Walton,Goizueta Business School 208
1224,ISOM,351-1121,Process  Systems Management,MW,2:30pm,3:45pm,Steve Walton,Goizueta Business School 208
1225,ISOM,351-1418,Process  Systems Management,MW,8:30am,9:45am,Steve Walton,Goizueta Business School 334
1226,ISOM,351-1419,Process  Systems Management,MW,10:00am,11:15am,Steve Walton,Goizueta Business School 334
1227,ISOM,351-1420,Process  Systems Management,MW,1:00pm,2:15pm,Steve Walton,Goizueta Business School 208
1228,ISOM,351-1421,Process  Systems Management,MW,2:30pm,3:45pm,Steve Walton,Goizueta Business School 208
1229,ISOM,352-1101,Applied Data Analytics with Coding,TuTh,11:30am,12:45pm,Wen Gu,Goizueta Business School 331
1230,ISOM,352-1102,Applied Data Analytics with Coding,TuTh,10:00am,11:15am,Wen Gu,Goizueta Business School 331
1231,ISOM,354-1101,Strategic Modeling and Social Dynamics,TuTh,11:30am,12:45pm,Michael Prietula,Goizueta Business School 421
1232,ISOM,355-1158,Appcology New Commerce Infrastructure,W,6:30pm,9:30pm,Benn Konsynski,Goizueta Business School 234
1233,ISOM,453-1101,Operations Strategy,MW,2:30pm,3:45pm,Eve Rosenzweig,Goizueta Business School 304
1234,ISOM,456-1102,Intro to Business Data Analytics,MW,1:00pm,2:15pm,Not Listed,Goizueta Business School 231
1235,ISOM,459-1159,Process Analysis  Six Sigma,Th,6:30pm,9:30pm,George Easton,Goizueta Foundation Ctr W330
